BankKey,ItemKey,OldGrade,NewGrade,OldSubject,NewSubject,OldClaim,NewClaim,OldTarget,NewTarget,OldInteractionCode,NewInteractionCode,OldAslSupported,NewAslSupported,OldStimulus,NewStimulus,OldDOK,NewDOK,OldCoreStandard,NewCoreStandard,NewStandardPublications,Equal
187,3521,Grade5,Grade5,MATH,MATH,3,,A,,GI,GI,True,True,,,2,2,,,SBAC-MA-v3:MA-Undesignated,False
187,3276,Grade8,Grade8,MATH,MATH,2,,A,,EQ,EQ,True,True,,,3,3,,,SBAC-MA-v3:MA-Undesignated,False
187,3399,Grade6,Grade6,MATH,MATH,4,,C,,GI,GI,True,True,,,2,2,,,SBAC-MA-v3:MA-Undesignated,False
187,3278,High,High,MATH,MATH,1,,K,,MI,MI,True,True,,,2,2,,,SBAC-MA-v3:MA-Undesignated,False
187,3403,Grade7,Grade7,MATH,MATH,1,,D,,EQ,EQ,True,True,,,2,2,,,SBAC-MA-v3:MA-Undesignated,False
187,3280,High,High,MATH,MATH,1,,C,,MC,MC,True,True,,,1,1,,,SBAC-MA-v3:MA-Undesignated,False
187,3523,Grade8,Grade8,MATH,MATH,3,,E,,MC,MC,True,True,,,2,2,,,SBAC-MA-v3:MA-Undesignated,False
187,3525,Grade4,Grade4,MATH,MATH,4,,E,,MC,MC,True,True,,,2,2,,,SBAC-MA-v3:MA-Undesignated,False
187,3282,High,High,MATH,MATH,1,,K,,MC,MC,True,True,,,1,1,,,SBAC-MA-v3:MA-Undesignated,False
187,3405,Grade3,Grade3,MATH,MATH,1,,A,,EQ,EQ,True,True,,,1,1,,,SBAC-MA-v3:MA-Undesignated,False
187,3407,Grade3,Grade3,MATH,MATH,1,,H,,GI,GI,True,True,,,2,2,,,SBAC-MA-v3:MA-Undesignated,False
187,3284,Grade5,Grade5,MATH,MATH,2,,A,,EQ,EQ,True,True,,,2,2,,,SBAC-MA-v3:MA-Undesignated,False
187,3527,Grade4,Grade4,MATH,MATH,1,,B,,MC,MC,True,True,,,1,1,,,SBAC-MA-v3:MA-Undesignated,False
187,3529,Grade4,Grade4,MATH,MATH,1,,D,,MI,MI,True,True,,,2,2,,,SBAC-MA-v3:MA-Undesignated,False
187,3409,Grade4,Grade4,MATH,MATH,1,,E,,EQ,EQ,True,True,,,2,2,,,SBAC-MA-v3:MA-Undesignated,False
187,3288,High,High,MATH,MATH,1,,O,,MI,MI,True,True,,,1,1,,,SBAC-MA-v3:MA-Undesignated,False
187,3286,Grade7,Grade7,MATH,MATH,3,,B,,SA,SA,True,True,,,3,3,,,SBAC-MA-v3:MA-Undesignated,False
